category,text
politics,Թուրքիան դեմ է Իրանի դեմ ցանկացած ռազմական միջամտության. Էրդողան
politics,Տեղի է ունեցել ԵՔՀ 8-րդ գագաթնաժողովի մասնակիցների դիմավորման պաշտոնական արարողությունը
politics,"«ՌԴ նախագահը հայտարարություններ է արել տարբեր երկրների վերաբերյալ, բայց չեմ հիշում, որ ՌԴ-ն ինձնից ակնկալեր, որ ես արձագանքեի այդ հայտարարություններին». Նիկոլ Փաշինյան"
politics,Ուրախ եմ գտնվել բարեփոխումների ու ժողովրդավարական զարգացման ուղին ընտրած Հայաստանում. Լատվիայի նախագահ
politics,Նիկոլ Փաշինյանի ձայների կտրուկ աճը կարող է տեղի ունեցած լինել փոքր ուժերի ձայների տոկոսների հաշվին. Նինա Կարապետյանց
politics,Փաշինյանի նախընտրական ծրագիրը ստի ու կեղծիքի ծրագիր է. Մենուա Սողոմոնյան
politics,Կոչ ենք անում Հայաստանի քաղաքացիներին ակտիվորեն մասնակցել ընտրություններին. ԱլԳ ՔՀՖ Հայաստանի ազգային պլատֆորմի հայտարարությունը
politics,"Օլոֆ Սկուգի հետ հանդիպմանը Արայիկ Հարությունյանն անդրադարձել է ինստիտուցիոնալ դիմադրողականության ամրապնդման քայլերին, ընդգծել ԵՄ աջակցության կարևորությունը"
politics,Հայաստանում խոսքի ազատությունը պաշտպանության կարիք չունի. Ավետ Պողոսյան
politics,«Հրաման ենք կատարում». մի՞շտ է ընդունելի այս պատճառաբանությունը
politics,ՀՀ գործող վարչակազմն իր լռությամբ փաստացի համաձայնվում է Ալիևի հետ՝ դառնալով նրա հանցակիցը. «Միասին» շարժում
politics,ՀՀ դեսպանները ներկայացրել են հավատարմագրման երկրներում առկա իրողություններն ու առանձնահատկությունները
politics,"Ո՞նց կարելի է 8 տարի քերել մարդկանց, բայց երևանցիների համար մի ճանապարհ չնախատեսել. Գրիգորյան"
politics,«Առաջին անգամ ԱՄՆ-ի հետ պաշտպանության ոլորտում իրականացնում ենք և իրականացնելու ենք համագործակցություն»․ Նիկոլ Փաշինյան
politics,"Նույն Անտոնիո Կոշտան, Ուրսուլա Ֆոն դեր Լայենը Եվրոպայում վարում են երկակի ստանդարտներով քաղաքականություն եւ գազի ու նավթի դիմաց վաճառում են մարդկային բարձր արժեքները. նախկին պատգամավոր"
politics,Ալիեւի խորամանկ քայլն ու վախերը
politics,"«Մենք բոլորս պատրաստ ենք ամեն ինչ զոհաբերել՝ հանուն Հայաստանի, մինչդեռ Փաշինյանն ամեն ինչ զոհաբերում է՝ հանուն իր աթոռի»․ Սամվել Կարապետյան"
politics,"«Պաշտպանության նախարարը հայտարարություն է արել, ես որեւէ բան ավելացնելու անհրաժեշտություն չեմ տեսնում»․ Փաշինյանը՝ Ջերմուկի եւ Վարդենիսի ուղղությամբ ներխուժման մասին"
politics,"Օրբանն էր հիմնական հենարանը ե՛ւ Պուտինի, ե՛ւ Ալիեւի համար. Գայանե Աբրահամյան"
politics,Ալիևի կողմից իրեն պարտադրված սահմանադրական փոփոխությունները ներկայացնում է որպես վիրահատական միջամտություն՝ արդարադատության համակարգին. Րաֆֆի Ասլանյան
politics,Մինսկին ներքին քաղաքական վեճերի մեջ ներքաշելու փորձերը դիվանագիտական տարրական էթիկայի խախտում են. Բելառուսի ԱԳՆ-ն՝ ի պատասխանն Ալեն Սիմոնյանի հայտարարության
politics,Ղազախստանի միանալը Աբրահամյան համաձայնագրին և Իրանի ու Հայաստանի համագործակցության խորացման անհրաժեշտությունը. Էհսան Մովահեդիան
politics,"«Ծառուկյան Գագիկ, լեզուդ երկարելա՞, ես քեզ ասում եմ՝ լակոտիդ Բելառուսից վզից բռնած բերելու ենք և դնենք պատասխանատվության»․ Նիկոլ Փաշինյան"
politics,"Ստյոպա Սաֆարյան. Փաշինյանի ելույթը Եվրոպական խորհրդարանում ավելին էր, քան լավը։ Գոհ եմ"
politics,"Հայկական երկաթուղիները Ղազախստանին կառավարելու համար կոնցեսիան փոխանցելու շուրջ Ռուսաստանը չի բանակցում ո՛չ Երևանի, ո՛չ էլ Աստանայի հետ. Զախարովա"
politics,"ՀՀ-ից զենքի արտահանումն առաջին անգամ 10 տարի առաջ էր, մի կտոր տեխնիկան էր մի քանի միլիոն դոլար, գնորդ երկիրն էլ՝ ՆԱՏՕ անդամ. Ավետիք Քերոբյան"
politics,Զելենսկու սպառնալիքների վրա ազդել է Երևանում գագաթնաժողովի ռուսատյաց մթնոլորտը. Զախարովան կրկին անդրադարձել է ՀՀ-ում ԵՔՀ համաժողովին
politics,"«Կոնկրետ իմ անունից՝ այո, մենք փորձում ենք այդ դաշտը ձեւավորել»․ Ռոբերտ Քոչարյանը՝ ընդդիմության միավորման մասին"
politics,Ինչո՞ւ Իրանը չի գնա ցամաքային պատերազմի Ադրբեջանի դեմ
politics,«Չգիտենք՝ ՀՀ-ում էսօր ռեալ ինչքան մարդ է ապրում. արտագաղթը գոյաբանական խնդիր է»․ Միքայել Մելքումյան
politics,Ձեր խնդիրը Ալիևի տասովշչիկ լինելը չէ։ Դուք զբաղեցնում եք Հայաստանի վարչապետի պաշտոնը. Արման Թաթոյան
politics,Ստորագրվել է TRIPP-ի վերաբերյալ ՀՀ-ԱՄՆ համաձայնագիրը
politics,"«Հայաստանի իրավիճակը բարդ է․ փակուղի չէ, անելանելի չէ»․ Արա Այվազյան"
politics,"Հայաստանի ժողովուրդը, որը չափազանց բարձր գին է վճարել աշխարհի անտարբերության հետևանքով, արժանի է ավելիին. Washingtontimes"
politics,"Ո՞րն է ԲՀԿ-ի առաջարկը, որ մարդկանց դեմքին կրկին ժպիտ գա"
politics,"25-օրյա վարժական հավաքների օգտագործումը իշխանության կողմից անբարո, անթույլատրելի և հակաօրինական գործելաոճ է. Գեղամ Մանուկյան"
politics,"Նրանց վնգունը դուրս է գալիս, որովհետեւ ջարդել եմ նրանց թալանչի թաթիկները. Փաշինյան"
politics,"«Բոլորը գիտեն, որ երեք ամիս տնային կալանք պահանջելը նրա համար է արվել, որ ընտրություններն անցնեն, որ Սամվել Կարապետյանը հնարավորություն չունենա մասնակցելու ընտրարշավին». Նարեկ Կարապետյան"
politics,Ռուբեն Ռուբինյանը բարձր է գնահատել ՀՀ-ում դիվանագիտական առաքելությունն ավարտող ԱՄՆ դեսպանի աշխատանքը
politics,"Մատչելիության խնդիր, քվեաթերթիկների դուրսբերում ընտրատեղամասերից, բաց քվեարկություն. «Ազատ քվե» դիտորդական առաքելությունը խախտումներ է գտել"
politics,Լեզվի պետական կոմիտեն հանրային քննարկման է դրել ՀՀ լեզվաքաղաքականության հայեցակարգի նախագիծը
politics,ՔՊ հանրահավաքին Վանաձորի Հայքի հրապարակում և հարակից տարածքներում ժամը 20:49-ի դրությամբ գտնվել է շուրջ 4820 մարդ. ԻՔՄ
politics,"Իրանը ու ԱՄՆ-ն դեռ պատրաստ չեն ուղիղ քաղաքական երկխոսության, սակայն նաև չեն ցանկանում փակել դիվանագիտական խողովակները. Վարդան Ոսկանյան"
politics,"Հայաստանը՝ հավասար գործընկե՞ր, թե՞ վերաձեւման ենթակա տարածք"
politics,"«Ով ուզում է լինի, եթե հայրենիքի նկատմամբ դավաճանություն է գործում, ներում-բեկում չկա, պետք է գնալ մինչեւ վերջ եւ պատժել ամենախիստ ձեւով»․ Գեւորգ Պապոյան"
politics,«Փաշինյանն ինչո՞ւ չի խոսում Սումգայիթի ջարդերից տուժած հայերի իրավունքի մասին»․ Նժդեհ Իսկանդարյան
politics,"Քննարկվել են հաղորդակցության և անվտանգության ոլորտի մի շարք առաջնահերթություններ՝ հիբրիդային սպառնալիքների, ապատեղեկատվության դեմ պայքարի և այլնի համատեքստում"
politics,"Այո՛, դեղերի գները կարող ենք նվազեցնել։ Թույլ մի՛ տվեք՝ ասեն, թե դա անհնար է. Նարեկ Կարապետյան"
politics,"Հայաստանի և Ադրբեջանի դեսպանները, Գերմանիայի արտգործնախարարը քննարկել են իրավիճակը Հարավային Կովկասում"
politics,Ի պատասխան Փաշինյանի մատուցած ծառայությունների՝ Ալիևը շարունակում է հնարավորինս ոտնահարել հայ ժողովրդի արժանապատվությունը. Տաթևիկ Հայրապետյան
politics,«Փաշինյանի ստերին մենք հակադրելու ենք ինքնիշխան խաղաղության կառուցման մեր մոդելը․ խաղաղության կուսակցությունը մենք ենք»․ Լեւոն Զուրաբյան
politics,"Ընտրությունները վերածվում են հանրաքվեի՝ պետությունը պահո՞ւմ ենք, թե՞ ոչ. Վահե Հովհաննիսյան"
politics,ԵՄ հանձնակատար. Հայաստանը վիզաների ազատականացման գործողությունների ծրագիրն իրականացնում է հաջողությամբ և արդյունավետ
politics,Ողջամտություն չեմ տեսնում. Արամ Վարդեւանյանը` Գոհար Ղումաշյանի ձերբակալության մասին
politics,Ինչպե՞ս է հակառուսականությունը որոշ հայերի մոտ վերածվել պրոադրբեջանականության. Տաթևիկ Հայրապետյան
politics,"Փաշինյանը պնդում է. «Ծառուկյան ԲՀԿ ղեկավարի բիզնես ողնաշարը՝ Արարատի ցեմենտի գործարանը, լինելու է պետական»"
politics,"Եվ եթե ուզում ենք՝ այս ամենն ավարտվի, ուրեմն հունիսի 7-ին պետք է վռնդել սրանց իշխանությունից. Դավիթ Սահակյանց"
politics,«Ոչ մի զինծառայող ընտրատեղամաս ուշ չի ներկայացել»․ Էդվարդ Ասրյան
politics,"«Այ, էս է իմ սիրտը։ Նիկոլի սրտիկները ձևական են, ոչ մեկի չի սիրում։ Ոչ մեկի մասին չի մտածում, միայն իր աթոռն է ուզում»․ զոհվածի մայրը Փաշինյանի համար սև սիրտ էր բերել"
politics,"«Պաթոսն ինձ թեւաթափ արեց, ղուդումից ընկած եմ»․ Հակոբ Մովսեսի եզրափակիչ խոսքը խորհրդարանում"
politics,"Սամվել Կարապետյան. «Ուզում են կասեցնել մեր ժողովրդի ուժեղ Հայաստան ունենալու երազանքը, բայց դա իրենց չի հաջողվելու»"
politics,"Նոր կառուցվելիք երկաթգծի միջոցով Հայաստանի հարավում պետք է դոմինանտ լինի ԱՄՆ-ը, իսկ հյուսիսում Կարս-Գյումրի երկաթուղին պետք է վերապահել ԵՄ-ին. Արման Բաբաջանյան. «Ա1+»"
politics,"«9 միլիարդը, ԱԹՍ-ների, խաղաղության հարցերը մի կողմ, կարևոր էր՝ Ավինյանը, Ալենը ճիշտ արեցի՞ն, լավ էլի, սա լո՞ւրջ է»․ Ալեն Սիմոնյան"
politics,ՆԳ նախարարության կողմից ներկայացվել են առաջարկներ Հայաստան-Եվրոպայի խորհուրդ 2023-2026 թթ. Գործողությունների ծրագրի միջգերատեսչական կոմիտեի ամփոփիչ նիստին
politics,"Միակ բանը, որ կանգնեցրել ես, Նիկոլ՝ ադրբեջանցիներն են ՀՀ ինքնիշխան տարածքում. Էդուարդ Շարմազանով"
